bus_id,name,vn_kv,geodata
0,North,115,"(102.13096901339338, 19.853338527993099)"
1,Central 1,115,"(102.61906183455005, 18.224047026630469)"
2,Central 2,115,"(105.23179399485926, 16.462312881196873)"
3,South,115,"(104.74586224248701, 15.011618278657229)"
4,Thailand_north,230,"(99.7556, 18.2942)"
5,Thailand_central1,230,"(102.8159, 17.3647)"
6,Thailand_central2,115,"(103.6520,16.0538)"
7,Thailand_south,115,"(104.8473, 14)"
8,Vietnam,230,"(108.0151, 13.9718)"
9,Cambodia,115,"(105.9677, 13.5069)"
10,Myanmar,115,"(100.3568, 21.1787)"
11,China,115,"(100.2625, 22.0534)"
12,trafo_b0,230,"(102.13096901339338, 19.853338527993099)"
13,trafo_b1,230,"(102.61906183455005, 18.224047026630469)"
14,trafo_b3,230,"(104.74586224248701, 15.011618278657229)"
