from_bus,to_bus,length_km,cable_type,bundle_no,Dm,A,Rb,r_ohm_per_km,x_ohm_per_km,c_nf_per_km,max_i_ka,cables,voltage,location
0,2,500,Thrasher,2,12,1711.4,0.095346212,0.01,0.01,1.00E-09,30,3,500,overhead
2,1,500,Thrasher,2,12,1711.4,0.095346212,0.01,0.01,1.00E-09,20,3,500,overhead
2,3,400,Thrasher,2,12,1711.4,0.095346212,0.01,0.01,1.00E-09,20,3,500,overhead
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
use this to switch between cable types,,,,,,,,,,,,,,
cable used:,,Cable type,Area,Resistance at 25,Inductance,Capacitance,max_i_ka,,,,,,,
"page 4, Condor from :https://www.elandcables.com/media/38193/acsr-astm-b-aluminium-conductor-steel-reinforced.pdf",OVERHEAD,Peacock,306.1,0.09547,N/A,1.00E-09,0.83,,,,,,,
,,Merlin,170.2,0.1717,N/A,1.00E-09,0.56,,,,,,,
,,Thrasher,1711.4,0.02838,N/A,1.00E+00,1.875,,,,,,,
https://www.elandcables.com/media/38193/acsr-astm-b-aluminium-conductor-steel-reinforced.pdf,,,,,,,,,,,,,,
